Gender,RFCM,Time,Influence,Du lịch,Thể thao điện tử,Phim ảnh,Âm nhạc,Thời trang,Đọc sánh,Hội họa - mỹ thuật,Thể thao,Chụp ảnh,chơi game,Biên tập viên,phóng viên,Viết,dancing,Uống trà sữa cùng hội chị em.,Maths_score,Physics_score,Chemistry_score,English_score,Literature_score,History_score,Geography_score,Major
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),1.0,4.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,7.25,7.25,Công nghệ thông tin
0,Sở thích,2.0,4.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,9.5,9.5,9.5,8.5,8.5,8.5,8.5,Công nghệ phần mềm
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,5.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,9.5,8.5,9.5,9.5,Công nghệ thông tin
0,"Tư vấn từ thầy cô, bạn bè",5.0,4.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8.5,9.5,9.5,9.5,5,9.5,9.5,Hệ thống thông tin
0,Năng lực bản thân,1.0,3.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,9.5,8.5,7.25,7.25,7.25,7.25,Truyền thông mạng máy tính
1,Nguyện vọng của gia đình,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,2.5,2.5,7.25,5.75,5.75,8.5,Kế toán
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),1.0,2.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8,8.5,7.25,7.25,5.75,7.25,8.5,Tin học ứng dụng
1,"Tư vấn từ thầy cô, bạn bè",3.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5,7.25,7.25,7.25,7.25,7.25,8.5,Hệ thống thông tin
1,Năng lực bản thân,3.0,5.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,8.5,8.5,8.5,Khoa học máy tính
1,Nguyện vọng của gia đình,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,8.5,7.25,8.5,8.5,8.5,Chính trị học
1,Sở thích,3.0,3.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.5,8.5,9.5,9.5,8.5,9.5,9.5,Công nghệ thông tin
1,Sở thích,3.0,4.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,8.5,7.25,5.75,7.25,8.5,8.5,8.5,Luật
1,Sở thích,4.0,3.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,8.5,9.5,9.5,7.25,8.5,8.5,8.5,Khoa học xã hội và nhân văn
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,8.5,7.25,Khoa học môi trường
1,Sở thích,2.0,4.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7.25,7.25,9.5,7.25,9.5,8.5,8.5,Khoa học xã hội và nhân văn
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),2.0,3.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,8.5,7.25,8.5,7.25,Khoa học môi trường
1,Nguyện vọng của gia đình,3.0,3.0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,2.5,5.75,7.25,9.5,5.75,5.75,5.75,Khoa học xã hội và nhân văn
0,Nguyện vọng của gia đình,3.0,3.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,7.25,7.25,7.25,7.25,7.25,Xây dựng
1,Nguyện vọng của gia đình,1.0,3.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,7.25,7.25,5.75,7.25,7.25,7.25,7.25,Điều dưỡng
1,Năng lực bản thân,5.0,5.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,8.5,8.5,8.5,Văn học
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,2.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,8.5,8.5,7.25,Ngôn ngữ anh
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,3.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7.25,8.5,9.5,7.25,9.5,9.5,9.5,Khoa học xã hội và nhân văn
1,Năng lực bản thân,4.0,3.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,7.25,7.25,7.25,Ngôn ngữ anh
1,Năng lực bản thân,2.0,5.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8.5,7.25,8.5,7.25,7.25,5.75,5.75,Y đa khoa
1,"Tư vấn từ thầy cô, bạn bè",3.0,3.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,5.75,8.5,7.25,7.25,Thông tin học
1,Nguyện vọng của gia đình,4.0,4.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8.5,7.25,8.5,8.5,7.25,7.25,7.25,Răng hàm mặt
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,4.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,7.25,5.75,7.25,7.25,5.75,5.75,Tin học ứng dụng
1,Nguyện vọng của gia đình,3.0,4.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8.5,5.75,2.5,5.75,8.5,8.5,8.5,Kế toán
1,Nguyện vọng của gia đình,4.0,5.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,5.75,7.25,8.5,8.5,Dược sĩ
0,Sở thích,3.0,5.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,7.25,8.5,7.25,7.25,5.75,7.25,7.25,Mỹ thuật đa phương tiện
1,Sở thích,2.0,5.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,7.25,9.5,9.5,Kế toán
1,Sở thích,4.0,3.0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,8.5,8.5,8.5,9.5,8-9.5,8.5,8.5,Luật
0,Năng lực bản thân,2.0,4.0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,8.5,8.5,7.25,5.75,5.75,7.25,7.25,Mỹ thuật đa phương tiện
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),5.0,4.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5.75,5.75,5.75,5.75,7.25,8.5,9.5,Khoa học xã hội và nhân văn
1,Nguyện vọng của gia đình,3.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,7.25,5.75,5.75,5.75,5.75,5.75,Quản trị kinh doanh
1,Sở thích,4.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,5.75,5.75,7.25,7.25,7.25,Kỹ Thuật điện - điện tử
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,3.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,8.5,8.5,7.25,8.5,5.75,8.5,8.5,Truyền thông mạng máy tính
1,Sở thích,4.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,8.5,8.5,8.5,Điều dưỡng
1,Năng lực bản thân,5.0,3.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,8.5,8.5,8.5,Khoa học xã hội và nhân văn
